IP,Port,DataCenter,City,TLS,Sent,Received,LossRate,AverageLatency,DownloadSpeedMBps
213.145.87.54,8443,FRA,DE [BJ#01 9.7MB/s],true,2,2,0,128.94,9.74
64.118.159.70,443,FRA,DE [BJ#02 9.3MB/s],true,2,2,0,131.71,9.26
82.153.50.67,2053,FRA,DE [BJ#03 5.7MB/s],true,2,2,0,134.17,5.67
172.67.65.248,8443,FRA,DE [BJ#04 8.9MB/s],true,2,2,0,146.33,8.91
172.67.67.201,443,FRA,DE [BJ#05 9.2MB/s],true,2,2,0,146.53,9.16
172.67.65.179,8443,FRA,DE [BJ#06 9.3MB/s],true,2,2,0,146.57,9.28
172.67.67.79,443,FRA,DE [BJ#07 9.5MB/s],true,2,2,0,146.69,9.46
172.67.65.12,8443,FRA,DE [BJ#08 9.3MB/s],true,2,2,0,146.81,9.31
172.67.64.100,2053,FRA,DE [BJ#09 9.3MB/s],true,2,2,0,146.92,9.32
172.67.65.58,2087,FRA,DE [BJ#10 9.2MB/s],true,2,2,0,146.97,9.21
172.67.67.164,443,FRA,DE [BJ#11 8.9MB/s],true,2,2,0,146.98,8.93
172.67.65.100,2087,FRA,DE [BJ#12 9.3MB/s],true,2,2,0,147.03,9.29
172.67.67.220,443,FRA,DE [BJ#13 9.3MB/s],true,2,2,0,147.04,9.26
172.67.67.58,443,FRA,DE [BJ#14 7.4MB/s],true,2,2,0,147.11,7.41
172.67.65.206,2087,FRA,DE [BJ#15 9.3MB/s],true,2,2,0,147.13,9.3
172.67.67.202,443,FRA,DE [BJ#16 9.2MB/s],true,2,2,0,147.17,9.21
172.67.64.159,2087,FRA,DE [BJ#17 9.3MB/s],true,2,2,0,147.22,9.26
172.67.65.160,2087,FRA,DE [BJ#18 9.2MB/s],true,2,2,0,147.59,9.22
172.67.67.96,443,FRA,DE [BJ#19 9.3MB/s],true,2,2,0,147.76,9.32
172.67.64.248,2087,FRA,DE [BJ#20 9.2MB/s],true,2,2,0,147.79,9.24
80.71.229.235,443,CDG,FR [BJ#01 7.0MB/s],true,2,2,0,182.97,7.05
185.49.33.34,443,LHR,GB [BJ#01 7.8MB/s],true,2,2,0,142.64,7.75
57.128.183.3,443,LHR,GB [BJ#02 3.9MB/s],true,2,2,0,151,3.94
57.128.176.82,8443,LHR,GB [BJ#03 7.8MB/s],true,2,2,0,153.12,7.78
