IP地址,端口,数据中心,城市,TLS,已发送,已接收,丢包率,平均延迟,下载速度(MB/s)
185.248.86.213,443,LHR,GB [CDCM#01 8.0MB/s],true,2,2,0.00,170.11,7.99
104.18.115.232,2087,LHR,GB [CDCM#02 3.5MB/s],true,2,2,0.00,219.79,3.45
104.18.115.182,2087,LHR,GB [CDCM#03 5.2MB/s],true,2,2,0.00,220.87,5.16
141.193.213.73,2053,LHR,GB [CDCM#04 3.5MB/s],true,2,2,0.00,223.00,3.45
104.18.115.55,2087,LHR,GB [CDCM#05 3.2MB/s],true,2,2,0.00,223.77,3.21
172.67.192.246,2053,LHR,GB [CDCM#06 3.5MB/s],true,2,2,0.00,223.85,3.45
141.193.213.55,2053,LHR,GB [CDCM#07 3.4MB/s],true,2,2,0.00,226.26,3.43
104.18.115.119,2087,LHR,GB [CDCM#08 15.7MB/s],true,2,2,0.00,234.83,15.68
172.67.128.114,2053,LHR,GB [CDCM#09 4.1MB/s],true,2,2,0.00,237.41,4.06
172.67.128.241,2053,LHR,GB [CDCM#10 4.0MB/s],true,2,2,0.00,237.41,4.02
141.193.213.54,2053,LHR,GB [CDCM#11 3.9MB/s],true,2,2,0.00,237.57,3.85
172.67.192.240,2053,LHR,GB [CDCM#12 3.4MB/s],true,2,2,0.00,246.81,3.43
141.193.213.181,2083,LHR,GB [CDCM#13 24.6MB/s],true,2,2,0.00,248.14,24.58
91.193.58.224,8443,HKG,HK [CDCM#01 17.1MB/s],true,2,2,0.00,48.81,17.06
91.193.59.86,2083,HKG,HK [CDCM#02 13.3MB/s],true,2,2,0.00,49.74,13.25
91.193.58.169,2053,HKG,HK [CDCM#03 15.7MB/s],true,2,2,0.00,50.30,15.66
91.193.59.65,2083,HKG,HK [CDCM#04 19.1MB/s],true,2,2,0.00,50.76,19.10
91.110.174.169,8443,HKG,HK [CDCM#05 67.3MB/s],true,2,2,0.00,51.55,67.31
91.193.59.182,8443,HKG,HK [CDCM#06 17.5MB/s],true,2,2,0.00,52.96,17.53
91.193.59.23,2083,HKG,HK [CDCM#07 18.1MB/s],true,2,2,0.00,53.19,18.10
103.158.117.226,443,HKG,HK [CDCM#08 66.5MB/s],true,2,2,0.00,53.67,66.52
91.193.58.30,8443,HKG,HK [CDCM#09 5.8MB/s],true,2,2,0.00,53.75,5.75
91.193.59.246,2096,HKG,HK [CDCM#10 12.3MB/s],true,2,2,0.00,53.86,12.27
91.193.59.51,2083,HKG,HK [CDCM#11 17.9MB/s],true,2,2,0.00,54.28,17.88
91.193.59.87,8443,HKG,HK [CDCM#12 16.4MB/s],true,2,2,0.00,54.83,16.35
91.193.58.54,2053,HKG,HK [CDCM#13 12.9MB/s],true,2,2,0.00,54.93,12.94
91.193.59.163,8443,HKG,HK [CDCM#14 18.7MB/s],true,2,2,0.00,55.63,18.66
91.193.59.213,8443,HKG,HK [CDCM#15 20.7MB/s],true,2,2,0.00,55.65,20.69
91.193.59.83,2096,HKG,HK [CDCM#16 3.3MB/s],true,2,2,0.00,55.74,3.32
91.193.58.2,2053,HKG,HK [CDCM#17 16.8MB/s],true,2,2,0.00,55.94,16.75
91.110.174.202,8443,HKG,HK [CDCM#18 63.4MB/s],true,2,2,0.00,56.27,63.42
91.110.174.205,8443,HKG,HK [CDCM#19 65.5MB/s],true,2,2,0.00,57.26,65.50
91.110.174.210,8443,HKG,HK [CDCM#20 65.3MB/s],true,2,2,0.00,58.14,65.33
172.237.5.208,2053,NRT,JP [CDCM#01 18.3MB/s],true,2,2,0.00,92.39,18.26
85.155.176.130,8443,NRT,JP [CDCM#02 22.2MB/s],true,2,2,0.00,97.12,22.15
85.155.176.105,8443,NRT,JP [CDCM#03 20.1MB/s],true,2,2,0.00,97.16,20.07
154.83.94.200,8443,NRT,JP [CDCM#04 15.0MB/s],true,2,2,0.00,98.41,15.00
178.239.117.205,8443,NRT,JP [CDCM#05 27.6MB/s],true,2,2,0.00,100.15,27.56
151.242.165.86,2087,NRT,JP [CDCM#06 19.4MB/s],true,2,2,0.00,100.66,19.35
85.155.176.13,8443,NRT,JP [CDCM#07 21.6MB/s],true,2,2,0.00,100.71,21.55
103.47.186.3,2053,NRT,JP [CDCM#08 22.3MB/s],true,2,2,0.00,102.51,22.33
160.191.40.63,8443,NRT,JP [CDCM#09 33.3MB/s],true,2,2,0.00,103.75,33.30
170.205.39.165,8443,NRT,JP [CDCM#10 36.3MB/s],true,2,2,0.00,104.75,36.29
167.148.6.161,2087,NRT,JP [CDCM#11 32.8MB/s],true,2,2,0.00,105.47,32.76
154.31.114.162,8443,NRT,JP [CDCM#12 78.5MB/s],true,2,2,0.00,107.66,78.48
103.53.80.84,443,NRT,JP [CDCM#13 11.4MB/s],true,2,2,0.00,108.60,11.40
45.32.250.23,2087,NRT,JP [CDCM#14 45.1MB/s],true,2,2,0.00,194.08,45.11
188.114.96.7,443,NRT,JP [CDCM#15 70.2MB/s],true,2,2,0.00,200.52,70.19
167.179.117.9,2053,NRT,JP [CDCM#16 58.6MB/s],true,2,2,0.00,205.29,58.62
45.141.139.209,443,ICN,KR [CDCM#01 3.1MB/s],true,2,2,0.00,84.62,3.14
211.49.57.134,443,ICN,KR [CDCM#02 11.6MB/s],true,2,2,0.00,120.36,11.59
123.111.169.70,2087,ICN,KR [CDCM#03 10.1MB/s],true,2,2,0.00,131.38,10.08
158.247.253.111,2087,ICN,KR [CDCM#04 9.6MB/s],true,2,2,0.00,246.56,9.58
172.104.59.228,8443,SIN,SG [CDCM#01 35.7MB/s],true,2,2,0.00,89.75,35.69
188.253.125.246,8443,SIN,SG [CDCM#02 29.1MB/s],true,2,2,0.00,90.34,29.08
85.155.176.154,8443,SIN,SG [CDCM#03 19.4MB/s],true,2,2,0.00,99.81,19.36
85.155.176.105,8443,SIN,SG [CDCM#04 6.2MB/s],true,2,2,0.00,135.31,6.24
45.38.60.153,2053,SIN,SG [CDCM#05 11.9MB/s],true,2,2,0.00,189.73,11.89
45.39.190.24,2053,SIN,SG [CDCM#06 9.1MB/s],true,2,2,0.00,190.56,9.06
140.235.38.78,443,TPE,TW [CDCM#01 51.3MB/s],true,2,2,0.00,72.31,51.30
151.242.189.137,443,TPE,TW [CDCM#02 37.5MB/s],true,2,2,0.00,77.21,37.50
78.105.183.40,443,TPE,TW [CDCM#03 0.1MB/s],true,2,2,0.00,79.48,0.14
85.237.207.126,443,TPE,TW [CDCM#04 8.4MB/s],true,2,2,0.00,83.60,8.41
114.32.9.249,443,TPE,TW [CDCM#05 4.9MB/s],true,2,2,0.00,88.74,4.92
45.207.159.187,443,TPE,TW [CDCM#06 11.8MB/s],true,2,2,0.00,139.63,11.77
83.147.15.253,443,TPE,TW [CDCM#07 46.8MB/s],true,2,2,0.00,140.84,46.83
78.105.183.11,8443,TPE,TW [CDCM#08 46.8MB/s],true,2,2,0.00,153.56,46.84
85.237.207.72,443,TPE,TW [CDCM#09 15.4MB/s],true,2,2,0.00,211.21,15.44
140.235.38.206,443,TPE,TW [CDCM#10 0.1MB/s],true,2,2,0.00,212.98,0.07
141.11.87.48,443,TPE,TW [CDCM#11 2.4MB/s],true,2,2,0.00,216.90,2.36
142.249.60.51,443,TPE,TW [CDCM#12 39.5MB/s],true,2,2,0.00,273.46,39.46
151.242.188.152,443,TPE,TW [CDCM#13 5.2MB/s],true,2,2,0.00,299.36,5.16
154.21.93.187,8443,LAX,US [CDCM#01 87.9MB/s],true,2,2,0.00,172.73,87.86
154.40.50.111,8443,LAX,US [CDCM#02 5.4MB/s],true,2,2,0.00,177.86,5.41
188.255.156.112,8443,LAX,US [CDCM#03 16.3MB/s],true,2,2,0.00,178.54,16.34
104.21.29.119,2087,SEA,US [CDCM#04 46.9MB/s],true,2,2,0.00,192.85,46.93
104.207.157.238,8443,SEA,US [CDCM#05 27.4MB/s],true,2,2,0.00,193.05,27.37
104.26.0.76,443,SEA,US [CDCM#06 48.3MB/s],true,2,2,0.00,194.13,48.25
104.18.0.3,443,SEA,US [CDCM#07 50.8MB/s],true,2,2,0.00,194.79,50.82
188.164.248.115,2083,SEA,US [CDCM#08 44.3MB/s],true,2,2,0.00,198.02,44.32
188.164.248.242,2083,SEA,US [CDCM#09 65.2MB/s],true,2,2,0.00,198.57,65.23
188.164.248.178,2083,SEA,US [CDCM#10 48.8MB/s],true,2,2,0.00,198.83,48.77
188.164.248.175,2083,SEA,US [CDCM#11 3.9MB/s],true,2,2,0.00,198.83,3.87
104.21.29.54,2087,SEA,US [CDCM#12 32.4MB/s],true,2,2,0.00,199.03,32.40
172.64.83.242,2083,LAX,US [CDCM#13 33.1MB/s],true,2,2,0.00,200.51,33.05
188.164.248.51,2083,SEA,US [CDCM#14 22.7MB/s],true,2,2,0.00,200.52,22.65
141.101.115.194,2083,LAX,US [CDCM#15 6.1MB/s],true,2,2,0.00,201.64,6.05
172.64.148.115,2096,LAX,US [CDCM#16 46.4MB/s],true,2,2,0.00,202.75,46.44
104.21.4.118,8443,LAX,US [CDCM#17 28.3MB/s],true,2,2,0.00,203.75,28.34
38.148.253.82,8443,SJC,US [CDCM#18 11.3MB/s],true,2,2,0.00,204.98,11.30
8.39.125.67,2096,LAX,US [CDCM#19 35.6MB/s],true,2,2,0.00,206.57,35.62
104.20.0.241,2087,LAX,US [CDCM#20 69.5MB/s],true,2,2,0.00,207.22,69.49
