IP地址,端口,数据中心,城市,TLS,已发送,已接收,丢包率,平均延迟,下载速度(MB/s)
104.27.203.224,2096,FRA,DE [CD#01 0.6MB/s],true,2,2,0.00,206.58,0.56
172.66.209.140,2053,FRA,DE [CD#02 2.7MB/s],true,2,2,0.00,207.73,2.74
172.66.209.203,2053,FRA,DE [CD#03 0.5MB/s],true,2,2,0.00,209.50,0.50
104.27.66.174,2087,FRA,DE [CD#04 1.2MB/s],true,2,2,0.00,211.74,1.23
172.67.95.76,2087,FRA,DE [CD#05 0.3MB/s],true,2,2,0.00,212.85,0.26
104.25.129.10,8443,FRA,DE [CD#06 0.3MB/s],true,2,2,0.00,213.49,0.28
172.66.159.76,2096,FRA,DE [CD#07 0.3MB/s],true,2,2,0.00,215.71,0.26
172.66.209.44,2053,FRA,DE [CD#08 0.3MB/s],true,2,2,0.00,216.09,0.26
172.66.209.171,2053,FRA,DE [CD#09 1.4MB/s],true,2,2,0.00,216.51,1.42
172.66.135.203,443,FRA,DE [CD#10 6.0MB/s],true,2,2,0.00,251.85,6.04
57.128.177.172,8443,LHR,GB [CD#01 0.3MB/s],true,2,2,0.00,219.79,0.28
57.128.183.133,8443,LHR,GB [CD#02 0.1MB/s],true,2,2,0.00,221.60,0.06
198.244.234.13,443,LHR,GB [CD#03 0.4MB/s],true,2,2,0.00,223.67,0.41
57.128.178.122,8443,LHR,GB [CD#04 0.1MB/s],true,2,2,0.00,223.97,0.13
216.245.140.197,443,LHR,GB [CD#05 0.1MB/s],true,2,2,0.00,226.13,0.14
35.178.212.67,443,LHR,GB [CD#06 0.1MB/s],true,2,2,0.00,229.49,0.06
57.128.183.214,8443,LHR,GB [CD#07 0.3MB/s],true,2,2,0.00,230.89,0.25
57.128.183.35,8443,LHR,GB [CD#08 0.0MB/s],true,2,2,0.00,231.39,0.04
193.104.58.12,8443,LHR,GB [CD#09 0.0MB/s],true,2,2,0.00,232.72,0.01
57.128.179.254,443,LHR,GB [CD#10 0.5MB/s],true,2,2,0.00,234.61,0.53
47.83.14.42,8443,HKG,HK [CD#01 0.3MB/s],true,2,2,0.00,41.10,0.31
45.153.130.61,8443,HKG,HK [CD#02 0.0MB/s],true,2,2,0.00,51.66,0.02
206.237.19.237,443,HKG,HK [CD#03 0.0MB/s],true,2,2,0.00,59.08,0.02
207.57.135.199,8443,HKG,HK [CD#04 0.1MB/s],true,2,2,0.00,62.43,0.08
68.64.181.90,8443,HKG,HK [CD#05 0.4MB/s],true,2,2,0.00,64.48,0.40
149.104.25.194,443,HKG,HK [CD#06 0.7MB/s],true,2,2,0.00,66.03,0.70
45.136.14.153,443,HKG,HK [CD#07 1.0MB/s],true,2,2,0.00,71.05,0.97
38.147.173.136,443,HKG,HK [CD#08 3.3MB/s],true,2,2,0.00,72.86,3.25
38.147.171.110,443,HKG,HK [CD#09 0.4MB/s],true,2,2,0.00,75.40,0.41
45.152.64.39,443,HKG,HK [CD#10 8.2MB/s],true,2,2,0.00,76.18,8.15
63.32.194.15,2053,DUB,IE [CD#01 0.0MB/s],true,2,2,0.00,243.33,0.03
54.229.164.147,8443,DUB,IE [CD#02 0.0MB/s],true,2,2,0.00,243.38,0.01
108.128.156.233,443,DUB,IE [CD#03 0.2MB/s],true,2,2,0.00,262.73,0.16
5.157.30.26,8443,DUB,IE [CD#04 0.2MB/s],true,2,2,0.00,283.48,0.15
5.157.30.2,8443,DUB,IE [CD#05 0.1MB/s],true,2,2,0.00,290.00,0.10
54.194.24.172,443,N/A,IE [CD#06 0.0MB/s],true,2,2,0.00,298.24,0.00
45.141.234.138,443,N/A,IE [CD#07 0.0MB/s],true,2,2,0.00,325.60,0.00
57.131.32.25,2053,MXP,IT [CD#01 0.1MB/s],true,2,2,0.00,238.85,0.12
45.144.172.33,443,MXP,IT [CD#02 0.4MB/s],true,2,2,0.00,244.89,0.44
31.14.140.155,443,MXP,IT [CD#03 0.3MB/s],true,2,2,0.00,260.64,0.27
5.249.148.85,443,MXP,IT [CD#04 0.1MB/s],true,2,2,0.00,262.60,0.10
80.211.27.249,443,MXP,IT [CD#05 0.0MB/s],true,2,2,0.00,264.19,0.00
80.211.24.32,443,N/A,IT [CD#06 0.0MB/s],true,2,2,0.00,270.06,0.00
132.243.255.51,443,N/A,IT [CD#07 0.0MB/s],true,2,2,0.00,278.51,0.00
185.47.172.172,8443,MXP,IT [CD#08 0.0MB/s],true,2,2,0.00,287.22,0.03
94.177.160.180,443,N/A,IT [CD#09 0.0MB/s],true,2,2,0.00,288.67,0.00
172.232.212.218,8443,MXP,IT [CD#10 0.0MB/s],true,2,2,0.00,305.16,0.01
118.25.185.127,8443,NRT,JP [CD#01 0.1MB/s],true,2,2,0.00,42.28,0.14
43.167.11.157,2083,NRT,JP [CD#02 2.9MB/s],true,2,2,0.00,66.37,2.94
202.144.194.241,443,NRT,JP [CD#03 6.1MB/s],true,2,2,0.00,69.02,6.13
43.153.169.35,443,NRT,JP [CD#04 3.5MB/s],true,2,2,0.00,73.92,3.54
45.94.40.102,443,NRT,JP [CD#05 0.1MB/s],true,2,2,0.00,74.47,0.05
43.167.9.109,443,NRT,JP [CD#06 2.8MB/s],true,2,2,0.00,75.86,2.78
50.114.113.191,443,KIX,JP [CD#07 1.4MB/s],true,2,2,0.00,86.02,1.38
64.83.39.176,443,NRT,JP [CD#08 0.9MB/s],true,2,2,0.00,86.36,0.88
166.88.95.82,443,KIX,JP [CD#09 0.1MB/s],true,2,2,0.00,86.57,0.05
23.27.11.55,443,KIX,JP [CD#10 0.1MB/s],true,2,2,0.00,96.05,0.08
104.25.6.226,2087,N/A,KR [CD#01 0.0MB/s],true,2,2,0.00,214.21,0.00
104.24.229.129,2087,N/A,KR [CD#02 0.0MB/s],true,2,2,0.00,215.51,0.00
104.27.122.27,2087,N/A,KR [CD#03 0.0MB/s],true,2,2,0.00,233.07,0.00
104.21.77.164,2087,N/A,KR [CD#04 0.0MB/s],true,2,2,0.00,238.58,0.00
104.27.59.153,2087,N/A,KR [CD#05 0.0MB/s],true,2,2,0.00,241.00,0.00
104.27.46.161,2087,N/A,KR [CD#06 0.0MB/s],true,2,2,0.00,243.45,0.00
77.67.8.205,8443,AKX,KZ [CD#01 0.1MB/s],true,2,2,0.00,308.92,0.07
193.124.204.130,8443,WAW,KZ [CD#02 0.1MB/s],true,2,2,0.00,313.30,0.12
185.5.74.226,8443,N/A,KZ [CD#03 0.0MB/s],true,2,2,0.00,314.09,0.00
91.207.74.142,8443,N/A,KZ [CD#04 0.0MB/s],true,2,2,0.00,314.78,0.00
195.210.47.233,8443,N/A,KZ [CD#05 0.0MB/s],true,2,2,0.00,315.23,0.00
213.155.21.40,8443,N/A,KZ [CD#06 0.0MB/s],true,2,2,0.00,317.13,0.00
213.155.29.37,8443,N/A,KZ [CD#07 0.0MB/s],true,2,2,0.00,320.14,0.00
92.118.115.22,2053,N/A,KZ [CD#08 0.0MB/s],true,2,2,0.00,321.46,0.00
94.131.83.5,2053,N/A,KZ [CD#09 0.0MB/s],true,2,2,0.00,321.65,0.00
86.107.198.133,8443,N/A,KZ [CD#10 0.0MB/s],true,2,2,0.00,325.40,0.00
47.254.206.196,443,N/A,MY [CD#01 0.0MB/s],true,2,2,0.00,312.35,0.00
104.21.29.208,2087,AMS,NL [CD#01 0.4MB/s],true,2,2,0.00,223.06,0.43
62.171.228.167,8443,AMS,NL [CD#02 0.2MB/s],true,2,2,0.00,234.43,0.15
104.21.4.172,8443,AMS,NL [CD#03 0.4MB/s],true,2,2,0.00,234.54,0.39
45.81.225.153,2053,AMS,NL [CD#04 0.1MB/s],true,2,2,0.00,237.09,0.07
172.67.128.140,2053,AMS,NL [CD#05 0.1MB/s],true,2,2,0.00,239.23,0.07
104.21.222.19,8443,AMS,NL [CD#06 0.7MB/s],true,2,2,0.00,239.37,0.69
104.21.73.13,2096,AMS,NL [CD#07 0.1MB/s],true,2,2,0.00,240.15,0.14
104.21.77.164,8443,AMS,NL [CD#08 0.1MB/s],true,2,2,0.00,240.46,0.09
104.21.198.140,2096,AMS,NL [CD#09 0.3MB/s],true,2,2,0.00,241.05,0.32
104.21.73.140,2096,AMS,NL [CD#10 0.0MB/s],true,2,2,0.00,241.55,0.03
147.90.89.200,443,AMS,NL [CD#11 0.2MB/s],true,2,2,0.00,243.64,0.23
45.87.41.205,8443,AMS,NL [CD#12 0.0MB/s],true,2,2,0.00,245.09,0.04
104.21.29.203,2087,AMS,NL [CD#13 0.6MB/s],true,2,2,0.00,245.79,0.57
172.67.128.44,2053,AMS,NL [CD#14 0.2MB/s],true,2,2,0.00,248.34,0.19
104.21.75.135,443,AMS,NL [CD#15 2.0MB/s],true,2,2,0.00,248.98,2.04
104.21.29.13,2087,AMS,NL [CD#16 0.2MB/s],true,2,2,0.00,249.34,0.15
82.115.13.173,2053,AMS,NL [CD#17 0.2MB/s],true,2,2,0.00,250.21,0.17
104.21.77.13,8443,AMS,NL [CD#18 0.9MB/s],true,2,2,0.00,251.59,0.85
104.21.73.214,2096,AMS,NL [CD#19 0.8MB/s],true,2,2,0.00,251.93,0.83
172.67.128.76,2053,AMS,NL [CD#20 0.1MB/s],true,2,2,0.00,251.95,0.10
61.245.11.45,443,N/A,PH [CD#01 0.0MB/s],true,2,2,0.00,414.53,0.00
172.64.148.203,2096,SIN,SG [CD#01 0.1MB/s],true,2,2,0.00,76.87,0.07
172.64.148.76,2096,SIN,SG [CD#02 0.1MB/s],true,2,2,0.00,77.23,0.10
