IP地址,端口,数据中心,城市,TLS,已发送,已接收,丢包率,平均延迟,下载速度(MB/s)
94.159.108.187,8443,FRA,DE [BJ#01 ip.zip],true,6,6,0,154.4,0.1
159.195.37.77,8443,HAM,DE [BJ#02 ip.zip],true,6,6,0,160.2,0.09
194.36.144.196,443,FRA,DE [BJ#03 ip.zip],true,6,6,0,164.32,0.08
136.244.85.65,443,FRA,DE [BJ#04 ip.zip],true,6,6,0,166.75,8.45
45.77.67.120,443,FRA,DE [BJ#05 ip.zip],true,6,6,0,168.55,0.27
95.179.248.89,443,FRA,DE [BJ#06 ip.zip],true,6,6,0,169.79,16.16
152.53.117.32,443,FRA,DE [BJ#07 ip.zip],true,6,6,0,170.99,0.05
202.61.196.15,8443,HAM,DE [BJ#08 ip.zip],true,6,6,0,174.22,0.1
85.121.124.8,443,FRA,DE [BJ#09 ip.zip],true,6,6,0,174.96,6.06
94.159.98.113,443,FRA,DE [BJ#10 ip.zip],true,6,6,0,175.49,4.67
104.17.126.29,2053,LAX,DE [BJ#11 cf-bestip],true,6,6,0,178.46,0.64
185.228.138.130,443,FRA,DE [BJ#12 ip.zip],true,6,6,0,191.75,0.07
152.53.143.195,8443,FRA,DE [BJ#13 ip.zip],true,6,6,0,194.1,25.9
143.20.160.195,443,FRA,DE [BJ#14 ip.zip],true,6,6,0,195.66,1.78
152.53.252.11,443,FRA,DE [BJ#15 ip.zip],true,6,6,0,197.83,28.36
94.159.102.201,8443,FRA,DE [BJ#16 ip.zip],true,6,6,0,197.94,0.03
152.53.239.169,8443,FRA,DE [BJ#17 ip.zip],true,6,6,0,203.36,26.46
81.30.157.13,2053,DUS,DE [BJ#18 ip.zip],true,6,6,0,204.42,0.04
159.195.72.96,8443,FRA,DE [BJ#19 ip.zip],true,6,6,0,209.02,25.89
152.53.143.195,443,FRA,DE [BJ#20 ip.zip],true,6,6,0,213.31,19.91
193.219.99.98,8443,LHR,GB [BJ#01 ip.zip],true,6,6,0,157.45,0.03
193.219.99.228,8443,LHR,GB [BJ#02 ip.zip],true,6,6,0,163.44,0.04
193.219.99.61,8443,LHR,GB [BJ#03 ip.zip],true,6,6,0,167.82,0.04
