IP地址,端口,数据中心,城市,TLS,已发送,已接收,丢包率,平均延迟,下载速度(MB/s)
172.66.135.104,443,FRA,DE [CD#01 37.7MB/s],true,2,2,0.00,197.74,37.72
104.24.64.189,8443,FRA,DE [CD#02 67.4MB/s],true,2,2,0.00,198.74,67.37
172.66.135.18,443,FRA,DE [CD#03 19.4MB/s],true,2,2,0.00,199.58,19.43
172.66.135.55,443,FRA,DE [CD#04 30.6MB/s],true,2,2,0.00,200.09,30.59
172.66.209.252,2053,FRA,DE [CD#05 60.1MB/s],true,2,2,0.00,202.78,60.14
172.67.99.189,443,FRA,DE [CD#06 19.7MB/s],true,2,2,0.00,203.03,19.73
104.25.190.62,2096,FRA,DE [CD#07 10.4MB/s],true,2,2,0.00,203.46,10.40
104.24.64.250,8443,FRA,DE [CD#08 58.0MB/s],true,2,2,0.00,207.45,57.95
172.66.135.188,443,FRA,DE [CD#09 24.1MB/s],true,2,2,0.00,208.33,24.07
172.66.135.245,443,FRA,DE [CD#10 35.4MB/s],true,2,2,0.00,209.30,35.44
104.26.0.9,443,FRA,DE [CD#11 25.8MB/s],true,2,2,0.00,210.02,25.80
172.66.159.80,2096,FRA,DE [CD#12 19.4MB/s],true,2,2,0.00,211.70,19.36
172.66.209.150,2053,FRA,DE [CD#13 23.2MB/s],true,2,2,0.00,211.78,23.16
104.25.181.19,8443,FRA,DE [CD#14 54.7MB/s],true,2,2,0.00,212.28,54.66
172.67.95.124,2087,FRA,DE [CD#15 14.0MB/s],true,2,2,0.00,212.39,13.98
104.20.0.55,443,FRA,DE [CD#16 61.6MB/s],true,2,2,0.00,213.55,61.64
172.66.135.229,443,FRA,DE [CD#17 70.5MB/s],true,2,2,0.00,214.10,70.53
104.20.0.162,443,FRA,DE [CD#18 27.2MB/s],true,2,2,0.00,217.34,27.15
104.25.0.100,443,FRA,DE [CD#19 7.1MB/s],true,2,2,0.00,217.62,7.07
172.67.95.125,2087,FRA,DE [CD#20 10.3MB/s],true,2,2,0.00,233.13,10.26
185.49.33.54,443,LHR,GB [CD#01 18.7MB/s],true,2,2,0.00,186.14,18.68
185.248.86.218,443,LHR,GB [CD#02 14.8MB/s],true,2,2,0.00,193.93,14.79
104.27.203.252,2096,LHR,GB [CD#03 16.6MB/s],true,2,2,0.00,211.99,16.55
94.237.54.4,443,LHR,GB [CD#04 11.1MB/s],true,2,2,0.00,219.50,11.05
185.169.234.13,8443,LHR,GB [CD#05 6.3MB/s],true,2,2,0.00,220.32,6.32
104.27.203.94,2096,LHR,GB [CD#06 9.7MB/s],true,2,2,0.00,225.82,9.65
216.245.140.197,443,LHR,GB [CD#07 3.0MB/s],true,2,2,0.00,228.99,3.02
104.27.203.126,2096,LHR,GB [CD#08 20.8MB/s],true,2,2,0.00,234.12,20.84
83.171.200.199,8443,LHR,GB [CD#09 7.2MB/s],true,2,2,0.00,234.58,7.18
109.73.70.139,2053,LHR,GB [CD#10 4.9MB/s],true,2,2,0.00,246.00,4.86
163.5.94.137,2053,LHR,GB [CD#11 7.3MB/s],true,2,2,0.00,246.48,7.26
104.27.203.155,2096,LHR,GB [CD#12 6.7MB/s],true,2,2,0.00,246.78,6.73
156.239.13.217,8443,HKG,HK [CD#01 40.6MB/s],true,2,2,0.00,42.70,40.60
206.237.8.62,8443,HKG,HK [CD#02 4.3MB/s],true,2,2,0.00,43.22,4.27
38.207.185.28,443,HKG,HK [CD#03 4.3MB/s],true,2,2,0.00,43.83,4.34
45.153.130.61,2053,HKG,HK [CD#04 11.6MB/s],true,2,2,0.00,45.26,11.61
43.175.131.30,443,HKG,HK [CD#05 127.5MB/s],true,2,2,0.00,45.59,127.45
103.214.174.194,443,HKG,HK [CD#06 6.5MB/s],true,2,2,0.00,49.99,6.45
207.57.124.108,2083,HKG,HK [CD#07 21.7MB/s],true,2,2,0.00,56.61,21.70
207.57.124.100,2087,HKG,HK [CD#08 22.9MB/s],true,2,2,0.00,56.84,22.87
38.207.178.173,2087,HKG,HK [CD#09 9.3MB/s],true,2,2,0.00,59.25,9.28
85.155.176.105,8443,NRT,JP [CD#01 22.2MB/s],true,2,2,0.00,60.70,22.17
160.191.40.63,8443,NRT,JP [CD#02 47.7MB/s],true,2,2,0.00,71.51,47.66
45.192.199.188,8443,NRT,JP [CD#03 122.1MB/s],true,2,2,0.00,71.76,122.07
216.23.86.164,8443,NRT,JP [CD#04 42.9MB/s],true,2,2,0.00,72.01,42.89
154.83.94.200,8443,NRT,JP [CD#05 127.9MB/s],true,2,2,0.00,72.31,127.89
45.8.173.215,8443,NRT,JP [CD#06 89.5MB/s],true,2,2,0.00,72.43,89.49
45.192.200.180,2083,NRT,JP [CD#07 45.4MB/s],true,2,2,0.00,72.69,45.38
64.204.48.24,8443,NRT,JP [CD#08 111.9MB/s],true,2,2,0.00,73.61,111.90
14.137.230.82,8443,NRT,JP [CD#09 36.8MB/s],true,2,2,0.00,73.61,36.79
151.242.165.86,2087,NRT,JP [CD#10 23.3MB/s],true,2,2,0.00,73.85,23.32
192.243.120.211,2096,KIX,JP [CD#11 34.4MB/s],true,2,2,0.00,73.89,34.35
23.147.232.171,8443,NRT,JP [CD#12 124.2MB/s],true,2,2,0.00,74.02,124.24
216.23.85.117,8443,NRT,JP [CD#13 34.5MB/s],true,2,2,0.00,75.43,34.47
64.204.48.118,8443,NRT,JP [CD#14 36.7MB/s],true,2,2,0.00,76.67,36.65
45.192.200.133,8443,NRT,JP [CD#15 45.6MB/s],true,2,2,0.00,77.15,45.61
45.143.235.81,2053,NRT,JP [CD#16 72.0MB/s],true,2,2,0.00,79.49,72.00
23.27.11.182,8443,KIX,JP [CD#17 39.3MB/s],true,2,2,0.00,80.30,39.30
185.200.64.25,2053,NRT,JP [CD#18 24.7MB/s],true,2,2,0.00,109.27,24.69
167.148.6.161,2087,NRT,JP [CD#19 17.1MB/s],true,2,2,0.00,178.65,17.07
5.104.85.214,2087,NRT,JP [CD#20 15.4MB/s],true,2,2,0.00,184.52,15.41
45.141.139.209,443,ICN,KR [CD#01 4.1MB/s],true,2,2,0.00,55.69,4.12
123.111.169.70,2053,ICN,KR [CD#02 18.3MB/s],true,2,2,0.00,60.37,18.34
110.10.178.240,443,ICN,KR [CD#03 37.3MB/s],true,2,2,0.00,60.59,37.32
158.247.253.111,2087,ICN,KR [CD#04 116.9MB/s],true,2,2,0.00,136.68,116.91
104.21.198.99,2096,AMS,NL [CD#01 5.8MB/s],true,2,2,0.00,210.97,5.80
104.21.198.189,2096,AMS,NL [CD#02 45.5MB/s],true,2,2,0.00,220.17,45.52
104.21.4.104,8443,AMS,NL [CD#03 5.2MB/s],true,2,2,0.00,220.41,5.21
104.21.198.253,2096,AMS,NL [CD#04 5.7MB/s],true,2,2,0.00,220.48,5.72
172.67.128.126,2053,AMS,NL [CD#05 18.8MB/s],true,2,2,0.00,220.90,18.82
104.21.198.120,2096,AMS,NL [CD#06 6.6MB/s],true,2,2,0.00,223.10,6.64
188.114.96.7,443,AMS,NL [CD#07 5.2MB/s],true,2,2,0.00,223.46,5.17
172.67.128.181,2053,AMS,NL [CD#08 14.2MB/s],true,2,2,0.00,227.15,14.18
