IP地址,端口,数据中心,城市,TLS,已发送,已接收,丢包率,平均延迟,下载速度(MB/s)
185.218.19.53,443,FRA,DE [CDCM#01 16.6MB/s],true,3,3,0.00,217.31,16.62
91.132.163.187,8443,FRA,DE [CDCM#02 7.6MB/s],true,3,3,0.00,223.45,7.62
185.218.19.213,8443,FRA,DE [CDCM#03 26.2MB/s],true,3,3,0.00,226.95,26.17
194.107.126.165,8443,FRA,DE [CDCM#04 11.5MB/s],true,3,3,0.00,229.28,11.50
185.242.113.117,443,FRA,DE [CDCM#05 11.0MB/s],true,3,3,0.00,230.63,10.98
193.219.99.3,8443,LHR,GB [CDCM#01 11.0MB/s],true,3,3,0.00,228.61,10.98
193.219.99.236,8443,LHR,GB [CDCM#02 8.9MB/s],true,3,3,0.00,232.47,8.89
104.18.115.114,2087,LHR,GB [CDCM#03 18.5MB/s],true,3,3,0.00,232.66,18.51
193.219.99.107,8443,LHR,GB [CDCM#04 12.7MB/s],true,3,3,0.00,234.24,12.71
193.219.99.41,8443,LHR,GB [CDCM#05 9.6MB/s],true,3,3,0.00,234.53,9.56
193.219.99.92,8443,LHR,GB [CDCM#06 5.5MB/s],true,3,3,0.00,236.02,5.45
193.219.99.149,8443,LHR,GB [CDCM#07 12.2MB/s],true,3,3,0.00,236.70,12.24
193.219.99.159,8443,LHR,GB [CDCM#08 9.5MB/s],true,3,3,0.00,236.93,9.51
172.67.128.177,2053,LHR,GB [CDCM#09 54.8MB/s],true,3,3,0.00,237.28,54.76
193.219.99.137,8443,LHR,GB [CDCM#10 12.0MB/s],true,3,3,0.00,237.46,12.01
104.18.115.50,2087,LHR,GB [CDCM#11 49.4MB/s],true,3,3,0.00,238.42,49.36
193.219.99.133,8443,LHR,GB [CDCM#12 11.6MB/s],true,3,3,0.00,239.01,11.64
193.219.99.198,8443,LHR,GB [CDCM#13 10.6MB/s],true,3,3,0.00,240.21,10.57
172.67.128.114,2053,LHR,GB [CDCM#14 50.7MB/s],true,3,3,0.00,240.77,50.73
172.67.128.241,2053,LHR,GB [CDCM#15 47.2MB/s],true,3,3,0.00,241.55,47.17
172.67.192.240,2053,LHR,GB [CDCM#16 53.6MB/s],true,3,3,0.00,241.69,53.62
151.242.125.102,443,HKG,HK [CDCM#01 13.3MB/s],true,3,3,0.00,48.53,13.32
82.158.230.241,443,HKG,HK [CDCM#02 2.7MB/s],true,3,3,0.00,53.65,2.66
